,1,2,3,4,5,6,7,8,9,10
Selena Gomez,Calm Down,Ice Cream,Love You Like a Love Song,Same Old Love,Lose You to Love Me,Wolves,The Heart Wants What It Wants,Come & Get It,People You Know,Baila Conmigo
BTS,Run BTS,Dynamite,Permission to Dance,Butter,Yet To Come,MIC Drop,Fire,FAKE LOVE,Boy With Luv,Black Swan
Rihanna,Umbrella,Diamonds,Love on the Brain,Woo,Love the Way You Lie,We Found Love,Stay,Dancing in the Dark,Work,Only Girl
Beyonce,CUFF IT,Halo,Crazy in Love,Partition,Single Ladies,ALIEN SUPERSTAR,BREAK MY SOUL,Beautiful Liar,Run the World,Pretty Hurts
Ariana Grande,positions,Bang Bang,7 Rings,God is a woman,Stuck With U,Side to Side,Into You,Santa Tell Me,no tears left to cry,Boyfriend
Carrie Underwood,Good Girl,Before He Cheats,If I Didn't Love You,The Champion,Something Bad,Remind Me,Blown Away,Ever Ever After,See You Again,Just a Dream
Justin Bieber,STAY,Baby,Ghost,Peaches,Love Yourself,Love Me,Beauty And A Beat,Yummy,Never Say Never,Confident
Miley Cyrus,Flowers,Wrecking Ball,Party in the USA,The Climb,Angels Like You,Heart of Glass,Midnight Sky,Prisoner,When I Look at You,We Can't Stop
Conan Gray,Heather,Family Line,Memories,Maniac,People Watching,Wish You Were Sober,Fake,Astronomy,Yours,Telepath
NewJeans,Ditto,Hype Boy,OMG,Hurt,Attention,Cookie,,,,
Camila Cabello,Senorita,Worth It,Havana,My Oh My,Work from Home,Bam Bam,I Know What You Did Last Summer,Never Be the Same,Liar,Por Favor
Nick Jonas,Jealous,Chains,Close,Find You,Levels,Bacon,Remember I told you ,Under you,Burnin' up ,Right now 
Kendrick Lamar,DNA,M.a.a.d city ,Swimming pool,Lust,Love,Element,Alright ,Humble,i,All the stars
Lizzo,Coldplay,Cuz I love you,Rumors,Tempo,Fitness,Jerome,batches and cookies,Boys,Juice,Truth hurts
Doja Cat,Vegas,Freaky deaky,Juicy,You right,Woman,Best friend,Say so,Need to know,Get into it,Kiss me more
Sam Smith,Stay with me,Dancing with a stranger,I'm not the only one ,Latch ,Too good at goodbyes,Diamonds,How do you sleep ,La la la,Lay me down,Unholy
Adele,Rolling in the deep,Set fire to the rain,Someone like you ,Easy on me,Rumor has it,Hello,Water under the bridge,When we were young,Send my love (to your new lover),Skyfall
BLACKPINK,Ice cream,Pink venom,Kill this love,Shut down,Sour candy,How you like that,Ddu-du ddu-du,Kiss and make up,Lovesick girls,Typa girl
AKB48,Koi Suru Fortune cookie,Kokoro no placard,Flying get,Labrador retriever,Kaze wa fuiteiru,Manatsu no sounds good,"Everyday, Katyusha",Mae shika mukane,Give me five,Green flash
Ty Dolla Sign,Psycho,Work from home,Sucker for pain ,Chosen,Hit different ,Swalla,It's a vibe ,Paranoid,Or nah,Blase
Bebe Rexha,I'm Good,In the Name of Love,Say My Name,Home,Break My Heart Myself,Meant to Be,I Got You,Knees,Girl in the Mirror,Last Hurrah
Sakura Gakuin,FRIENDS,Hashireyoujikimono,My Graduation Toss,Marshmallow Iro No Kimi To,Heart No Hoshi,Suiminbusoku,Melodic Solfege,Mikansei Silhouette,Gambare,Otomegokoro
AURORA,Runaway,Cure For Me,Into the Unknown,Exist for Love,The Seed,Everything Matters,A Temporary High,Forgotten Love,Heathens,Queendom
IU,Good Day,Blueming,Celebrity,This Right Now,LILAC,eight,strawberry moon,Through the Night,Love poem,My sea
Sabrina Carpenter,Nonsense,Thumbs,On My Way,Looking at me,because i liked a boy,skin,Sue Me,Read your Mind,Eyes Wide Open,Smoke and Fire
